no,speech_text,listening_mode,sentiment_mode,led_mode,mouse_mode,head_mode,pre_wait,after_wait,next_node
0,こんにちは,0,0,1,1,0,0,0,1
1,今日は何を食べたの,0,0,1,1,0,0,0,2
2,,1,0,2,0,1,0,0,3
3,pretextですね,0,0,1,1,0,0,0,4
4,美味しかった？,0,0,1,1,0,0,0,5
5,,1,1,2,0,1,1,0,6?7
6,それは良かった,0,0,1,1,0,0,0,8
7,それは残念でした,0,0,1,1,0,0,0,8
8,どうしてかな？,0,0,1,1,0,0,0,9
9,,1,0,2,0,1,1,0,10
10,pretextですね,0,0,1,1,0,0,0,11
11,また来てくれるかな,0,0,1,1,0,0,0,12
12,,1,1,2,0,1,1,0,13?14
13,ありがとうね,0,0,1,1,0,0,0,-1
14,そんなこと言わずに、来てくださいね,0,0,1,1,0,0,0,-1
